Questions
What is variable?
What is datatype?
Mention syntax of for loop in python
What are different ways of using conditional statement
What are loops?
What are exceptions?
What are exception handling methods in python?
What is django and flask?
What is app routing?
Compare flask and django?
What is inheritance in oops?
What are various properties of objects in oops?
What is polymorphism in oops?
